Conference Acronym	Year	Conference Name	City	Country	ResearchArea
EAI ICISML 	2024	EAI 3rd International Conference on Intelligent Systems and Machine Learning	Pune	 India	ML
ICSC	2024	IEEE International Conference on Semantic Computing	Laguna Hills	 USA	ML
AI4PMI	2023	Workshop on Artificial Intelligence for Predictive Maintenance and IIoT	Giza	 Egypt	ML
CAIDS	2023	1st International Conference on Recent Advances in Computing, AI, and Data Science	Islamabad	 Pakistan	ML
CECCT	2023	2023 International Conference on Electronics, Computers and Communication Technology (CECCT 2023)	Guilin	 China	ML
FinTOC 	2023	FNP-2023 Shared Task - FinTOC (Financial Document Structure Extraction)	Sorrento	 Italy	ML
FOW	2023	Future of War Call For Papers	Washington DC	 USA	ML
MLHMI	2024	2024 5th International Conference on Machine Learning and Human-Computer Interaction (MLHMI 2024)	Kawasaki	 Japan	ML
ACM ICMVA	2024	ACM--2024 The 7th International Conference on Machine Vision and Applications (ICMVA 2024)	Singapore	 Singapore	ML
ICCRD	2024	2024 The 16th International Conference on Computer Research and Development (ICCRD 2024)	Chengdu	 China	ML
CSCT	2023	Congress on Smart Computing Technologies	New Delhi	 India	ML
ICCTech--Ei	2024	2024 the 3rd International Conference on Computer Technologies (ICCTech 2024)	Bali	 Indonesia	ML
ICSCA	2024	ACM--2024 13th International Conference on Software and Computer Applications (ICSCA 2024)	Bali	 Indonesia	ML
ICCIS	2023	5th International Conference on Communication and Intelligent Systems	Jaipur	 India	ML
SOFE 	2024	10th International Conference on Software Engineering	Vancouver	 Canada	ML
ADCOM	2024	10th International conference on Advanced Computing	Vancouver	 Canada	ML
MLSC	2024	5th International Conference on Machine Learning and Soft Computing	Vancouver	 Canada	ML
ACM-Ei/Scopus-AIHPC	2023	2023 International Conference on Artificial Intelligence and High-Performance Computing (AIHPC 2023) -EI Compendex	Chengdu	 China	ML
IPMI	2024	2024 International Conference on Image Processing and Machine Intelligence (IPMI 2024)	Batangas City	 Philippines	ML
IEEE Xplore-Ei/Scopus-DMCSE	2023	2023 International Conference on Data Mining, Computing and Software Engineering (DMCSE 2023) -EI Compendex	Chengdu	 China	ML
ACM-EI/Scopus-PRDM	2023	2023 4th International Conference on Pattern Recognition and Data Mining (PRDM 2023) -EI Compendex	Sanya	 China	ML
ACM-Ei/Scopus-MLBDM	2023	2023 3rd International Conference on Machine Learning and Big Data Managementï¼MLBDM 2023ï¼-EI Compendex	Sanya	 China	ML
ACMLC	2024	2024 6th Asia Conference on Machine Learning and Computing (ACMLC 2024)	Bangkok	 Thailand	ML
IEEE Xplore-Ei/Scopus-ANHMI	2023	2023 International Conference on Algorithms, Networking and HumanâMachine Interaction (ANHMI 2023) -EI Compendex	Chengdu	 China	ML
ACM-Ei/Scopus-MICML 	2023	2023 International Conference on Mathematics, Intelligent Computing and Machine Learning (MICML 2023) -EI Compendex	Chengdu	 China	ML
ACDSA	2024	International Conference on Artificial Intelligence, Computer, Data Sciences and Applications	Mahe	 Seychelles	ML
evostar	2024	EvoStar 2024 - The Leading European Event on BioâInspired Computation	Aberystwyth	 UK	ML
AMLSP	2023	2023 5th International Conference on Algorithms, Machine Learning and Signal Processing (AMLSP 2023)	Bangkok	 Thailand	ML
6th AccML	2024	6th Workshop on Accelerated Machine Learning (AccML)	Munich	 Germany	ML
FAIML 	2024	2024 3rd International Conference on Frontiers of Artificial Intelligence and Machine Learning	Chongqing	 China	ML
CVPR	2024	The IEEE/CVF Conference on Computer Vision and Pattern Recognition	Seattle	 USA	ML
CSTE--Ei	2024	2024 The 6th International Conference on Computer Science and Technologies in Education (CSTE 2024)	Xi'an	 China	ML
CAMEE	2023	2023 2nd International Conference on Mechanical, Automation and Electrical Engineering (CAMEE 2023)	Chengdu	 China	ML
PeRConAI	2024	3rd International Workshop on Pervasive and Resource-Constrained Artificial Intelligence	Biarritz	 France	ML
IDA	2024	The 22nd International Symposium on Intelligent Data Analysis	Stockholm	 Sweden	ML
CISNS	2023	2023 4th International Conference on Information System and Network Security (CISNS 2023)	Sanya	 China	ML
MLAMDA 	2023	2023 Asia Conference on Machine Learning, Algorithms, Modeling and Data Analysis (MLAMDA 2023)	Xiamen	 China	ML
MLNLP	2023	2023 6th International Conference on Machine Learning and Natural Language Processing (MLNLP 2023)	Sanya	 China	ML
AIDBEI	2024	AIDBEI2024: Diversity Workshop on Artificial Intelligence - Diversity, Belonging, Equity, and Inclusion	Vancouver	 Canada	ML
smart health	2023	1ST INTERNATIONAL WORKSHOP ON SMART HEALTH	Leuven	 Belgium	ML
ICCAI--EI	2024	2024 10th International Conference on Computing and Artificial Intelligence (ICCAI 2024)	Bali	 Indonesia	ML
MSR4P&S	2024	2nd International Workshop on MSR Applications for Privacy and Security	Rovaniemi	 Finland	ML
ISIPA--SCOPUS	2024	2024 International Symposium on Image Processing and Analysis	Xiamen	 China	ML
CFP-CIPCV-EI/SCOPUS	2024	2024 2nd International Conference On Intelligent Perception And Computer Vision	Xiamen	 China	ML
OLA	2024	OLA'2024 Int. Conf. on Optimization & Learning	Dubrovnic	 Croatia	ML
ICMAI	2024	International Conference on Mathematics and Artificial Intelligence	Beijing	 China	ML
ICACR	2024	2024 the 8th International Conference on Automation, Control and Robots (ICACR 2024)	Shenzhen	 China	ML
ICMLT	2024	2024 9th International Conference on Machine Learning Technologies (ICMLT 2024)	Oslo	 Norway	ML
ML4CPS	2024	Machine Learning for Cyber-Physical Systems	Berlin	 Germany	ML
WSOM+	2024	15th Workshop on Self-Organizing Maps, Learning Vector Quantization & Beyond	Mittweida	 Germany	ML
ICDM	2024	24th Industrial Conference on Data Mining	Dresden	 Germany	ML
MLDM	2024	20th International Conference on Machine Learning and Data Mining	Dresden	 Germany	ML
IWPR--EI	2024	2024 9th International Workshop on Pattern Recognition (IWPR 2024)	Xiamen	 China	ML
FLAIRS - SLP	2024	Spoken Language Processing  and  Conversational Systems  Special Track	Miramar Beach	 USA	ML
FLAIRS	2024	37th International FLAIRS Conference	Miramar Beach	 USA	ML
ICICCS	2024	8th International Conference on Intelligent Computing and Control Systems	Madurai	 India	ML
ACDL	2024	7th Advanced Course on Data Science & Machine Learning	Tuscany	 Italy	ML
IEEE ACIRS	2024	IEEE--2024 the 9th Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2024)	Dalian	 China	ML
ICANN	2024	33rd International Conference on Artificial Neural Networks	Lugano-Viganello	 Switzerland	ML
FAIML	2024	2023 International Conference on Frontiers of Artificial Intelligence and Machine Learning (FAIML 2023)	Beijing	 China	ML
AIAAT	2024	2024 7th International Conference on Artificial Intelligence Applications and Technologies	Kuala Lumpur	 Malaysia	ML
JCICE	2024	2024 International Joint Conference on Information and Communication Engineering(JCICE 2024)	Chengdu	 China	ML
IEEE ICA	2022	The 6th IEEE International Conference on Agents	Adelaide	 Australia	ML
ITNG	2024	The 21st Int'l Conf. on Information Technology: New Generations                          ITNG 2024	Las Vegas	 USA	ML
FL@FM-NeurIPS	2023	International Workshop on Federated Learning in the Age of Foundation Models in Conjunction with NeurIPS 2023	New Orleans	 USA	ML
ICBINB@NeurIPS	2023	ICBINB@NeurIPS2023 - Failure Modes in the Age of Foundation Models	New Orleans	 USA	ML
ICRMV	2024	2024 the 8th International Conference on Robotics and Machine Vision (ICRMV 2024)	Shanghai	 China	ML
EI	2024	Electronic Imaging Symposium 2024	Burlingame	 CA	ML
ACM ICMLC	2024	ACM--2024 16th International Conference on Machine Learning and Computing (ICMLC 2024)	Shenzhen	 China	ML
IEEE ISCMI	2023	IEEE--2023 10th International Conference on Soft Computing & Machine Intelligence (ISCMI 2023)--SCIE	Mexico City	 Mexico	ML
GNNet@CoNEXT	2023	Graph Neural Networking Workshop (co-located with ACM CoNEXT 2023)	Paris	 France	ML
ACM NLPIR	2023	ACM--2023 7th International Conference on Natural Language Processing and Information Retrieval (NLPIR 2023)	Seoul	 South Korea	ML
IEEE Xplore-Ei/Scopus-AICME	2023	2023 International Conference on Artificial Intelligence, Communications and Mechatronics (AICME 2023) -EI Compendex	Chongqing	 China	ML
Call for Book Chapter	2023	Decoding Cultural Heritage: a critical dissection and taxonomy of human creativity through digital tools	Springer		ML
IEEE Xplore-Ei/Scopus-CSPIT	2023	2023 Asia Conference on Communications, Signal Processing and Information Technology (CSPIT 2023) -EI Compendex	Singapore	 Singapore	ML
SAFE	2023	Workshop on Explainable and Safety Bounded, Fidelitous, Machine Learning for Networking @CONEXT 2023	Paris	 France	ML
ICLR	2024	International Conference of Learning Representations	Vienna	 Austria	ML
MLMI	2023	2023 The 6th International Conference on Machine Learning and Machine Intelligence (MLMI 2023)	Chongqing	 China	ML
MLPR	2023	2023 The International Conference on Machine Learning and Pattern Recognition (MLPR 2023)	Chongqing	 China	ML
SOICT	2023	The 12th Symposium on Information and Communication Technology	Ho Chi Minh	 Vietnam	ML
IEEE FG	2024	18th IEEE International Conference on Automatic Face and Gesture Recognition	Istanbul	 Turkey	ML
ISSA	2023	Intelligent Systems, Services and Applications (ISSA 2023)	Bangkok	 Thailand	ML
SIVT	2023	Signal Image and Vision Technology	Bangkok	 Thailand	ML
responsible-AI	2023	TRUSTWORTHY MACHINE LEARNING	Shanghai	 China	ML
CXAI	2023	The ICDM 2023 Workshop on Causal and Explainable AI	Shanghai	 China	ML
ICCI	2023	4th International Conference On Computational Intelligence	Surat	 India	ML
DMMLACS	2023	Special Session on Data Mining and Machine Learning Applications for Cyber Security	Rome	 Italy	ML
DMU2	2023	The 1st International Workshop on User Understanding from Big Data Workshop	Shanghai	 China	ML
ICDM NeuRec Workshop	2023	The Fourth International Workshop on Advanced Neural Algorithms and Theories for Recommender Systems 2023	Shanghai	 China	ML
MLCR	2023	2nd International Conference on Machine Learning, Control, and Robotics	Nanjing	 China	ML
CSEC	2023	2023 International Conference on Computer Science, Electronics and Communications (CSEC 2023)	Beijing	 China	ML
ML4H	2023	Machine Learning for Health	New Orleans	 USA	ML
CSoNet	2023	CFP: The 12th International Conference on Computational Data and Social Networks	Hanoi	 Vietnam	ML
CSoNet	2023	CFP: The 12th International Conference on Computational Data and Social Networks	Hanoi	 Vietnam	ML
RECON 	2023	The 1st edition of RECON - Reinforcement Learning for Communication and Network Optimization workshop	Boston	 USA	ML
GCA	2023	The Eighth International Workshop on GPU Computing and AI	Matsue	 Japan	ML
IEEE BigData 	2023	EEE International Conference on Big Data	Sorento	 Italy	ML
DME	2023	International Workshop on Data Mining for Education: Techniques, Challenges, and Applications	Shanghai	 China	ML
DME	2023	International Workshop on Data Mining for Education: Techniques, Challenges, and Applications	Shanghai	 China	ML
IRC	2023	IEEE International Conference on Robotic Computing	Laguna Hills	 USA	ML
BigMM	2023	IEEE International Conference on Multimedia Big Data	Laguna Hills	 USA	ML
DMBD	2023	8th International Conference on Data Mining and Big Data	Sanya	 China	ML
RiTA	2023	The 11th International Conference on Robot Intelligence Technology and Applications	Taicang	 China	ML
RiTA	2023	The 11th International Conference on Robot Intelligence Technology and Applications	Taicang	 China	ML
MVEO	2023	Workshop on Machine Vision for Earth Observation@BMVC2023	Aberdeen	 UK	ML
ADMIT 	2023	2023 2nd International Conference on Algorithms, Data Mining, and Information Technology (ADMIT 2023)	Chengdu	 China	ML
ACM-EI/Scopus-AIMLR	2023	2023 Asia Conference on Artificial Intelligence, Machine Learning and Robotics (AIMLR 2023)	Bangkok	 Thailand	ML
ICSIF	2023	International Conference on Services and Industry of the Future	Rabat	 Morocco	ML
AUSDM	2023	The Australasian Data Science and Machine Learning Conference 2023 - First Call for Papers	Auckland	 New Zealand	ML
AusDM	2023	Australasian Data Science and Machine Learning Conference	Auckland	 New Zealand	ML
ICSEng	2023	30th INTERNATIONAL CONFERENCE ON SYSTEMS ENGINEERING	Las Vegas	 USA	ML
WAIE	2023	2023 5th International Workshop on Artificial Intelligence and Education (WAIE 2023)	Tokyo	 Japan	ML
BigData  - 6th HealthCare Data	2023	IEEE BigData 2023 - 6th Special Session on HealthCare Data	Sorrento	 Italy	ML
EAI SaSeIoT	2023	7th EAI International Conference on Safety and Security in Internet of Things	Bratislava	 Slovakia	ML
ICADCML	2024	5th International Conference on Advances in Distributed Computing and Machine Learning	Amaravati	 India	ML
SPACA	2023	Second Symposium on Survival Prediction: Algorithms, Challenges and Applications	Arlington	 USA	ML
BDML	2023	2023 6th International Conference on Big Data and Machine Learning (BDML 2023)	Xiamen	 China	ML
SIMBIG-ANLP	2023	SIMBIG 2023 - Track on Applied Natural Language Processing (ANLP)	Mexico City	 Mexico	ML
PREDICTION SOLUTIONS	2023	International Conference on Prediction Solutions for Technical and Societal Systems	Valencia	 Spain	ML
ENC	2023	**Final extension**: Track: Scientific Computation Applied to Geospatial Problems, Encuentro Nacional de ComputaciÃ³n 2023 (ENC 2023)	Guanajuato	 Mexico	ML
MICAI	2023	22nd Mexican International Conference on Artificial Intelligence	Merida	 Mexico	ML
iSAI-NLP-AIoT	2023	The 18th International Joint Symposium on Artificial Intelligence and Natural Language Processing and The International Conference on Artificial Intelligence and Internet of Things	Bangkok	 Thailand	ML
ICRCV	2023	IEEE--2023 5th International Conference on Robotics and Computer Vision (ICRCV 2023)	Nanjing	 China	ML
GMIP	2023	Special Session on Generative Models in Image Processing (GMIP 2023) collocated with IEEE ICIST 2023	Cairo	 Egypt	ML
YSC	2023	International Young Scientists Conference in Computational Science 2023	Abu Dhabi	 UAE	ML
EAI MLICOM 	2023	8th EAI International Conference on Machine Learning and Intelligent Communications	Beijing	 China	ML
PKAW	2023	2023 Principle and practice of data and Knowledge Acquisition Workshop (PKAW 2023)	Jakarta	 Indonesia	ML
IDC2	2023	16th International Symposium on Intelligent Distributed Computing, 2nd call	Hamburg	 Germany	ML
ICMLDE	2023	2nd International Conference on Machine Learning and Data Engineering	Dehradun	 India	ML
SUMAC	2023	5th ACM International workshop on analysis, understanding and promotion of heritage contents	Ottawa	 Canada	ML
VIPERC	2023	2nd International Conference on Visual Pattern Extraction and Recognition for Cultural Heritage Understanding	Zadar	 Croatia	ML
IDEAL	2023	24th International Conference on Intelligent Data Engineering and Automated Learning	Alvor	 Portugal	ML
ENC	2023	**2nd. extension**: Track: Scientific Computation Applied to Geospatial Problems, Encuentro Nacional de ComputaciÃ³n 2023 (ENC 2023)	Guanajuato city	 Mexico.	ML
CUDAN	2023	Cultural Data Analytics Conference 2023	Tallinn	 Estonia	ML
NarSUM	2023	The 2nd Workshop on User-Centric Narrative Summarization of Long Videos	Ottawa	 Canada	ML
GENEA	2023	Generation and Evaluation of Non-verbal Behaviour for Embodied Agents Workshop 2023	Paris	 France	ML
FAIMI-MICCAI	2023	Fairness of AI in Medical Imaging @ MICCAI 2023	Vancouver	 Canada	ML
TAISEN	2023	The 1st International Workshop on Trust in AI, Services and Networking	Reykjavik	 Iceland	ML
ENC	2023	** Deadline extended** Track: Scientific Computation Applied to Geospatial Problems, Encuentro Nacional de ComputaciÃ³n 2023	Guanajuato city	 Mexico	ML
CODS-COMAD	2024	7th Joint Conference on Data Science and Management of Data	Bengaluru	 India	ML
NCTA	2023	15th International Conference on Neural Computation Theory and Applications	Lisbon	 Portugal	ML
IICAIET	2023	IEEE International Conference on Artificial Intelligence in Engineering and Technology	Kota Kinabalu	 Malaysia	ML
ACVR	2023	Eleventh International Workshop on Assistive Computer Vision and Robotics	Paris	 France	ML
KiTS	2023	The 2023 MICCAI Kidney Tumor Segmentation Challenge	Vancouver	 Canada	ML
INFORMS WDS	2023	2023 INFORMS Workshop on Data Science	Phoenix	 Arizona	ML
DALI	2023	The 3rd MICCAI Workshop on Data Augmentation, Labeling, and Imperfections	Vancouver	 Canada	ML
SiPML	2023	9th International Workshop on Signal Processing and Machine Learning	Daegu	 South Korea	ML
ICMU	2023	The 14th International Conference on Mobile Computing and Ubiquitous Networking	Kyoto	 Japan	ML
MuSe	2023	The 4th International Multimodal Sentiment Analysis Challenge and Workshop @ ACM Multimedia 2023, Ottawa, Canada	Ottawa	 Canada	ML
EAI BDTA 	2023	13th EAI International Conference on Big Data Technologies and Applications	Edinburgh	 Scotland	ML
EAI BDTA - PhD Track	2023	13th EAI International Conference on Big Data Technologies and Applications - PhD Track	Edinburgh	 Scotland	ML
ENC	2023	Track: Scientific Computation Applied to Geospatial Problems, Encuentro Nacional de ComputaciÃ³n 2023 (ENC 2023)	Guanajuato city	 Mexico	ML
IJCLR	2023	3rd International Joint Conference on Learning and Reasoning	Bari	 Italy	ML
ICDM	2023	International Conference on Data Mining	Shanghai	 China	ML
ARRL	2023	International Workshop on Adaptable, Reliable, and Responsible Learning	Shanghai	 China	ML
TransAI	2023	IEEE International Conference on Transdisciplinary AI	Laguna Hills	 USA	ML
IEEE CIIoT	2023	IEEE Symposium on Computational Intelligence in IoT and Smart Cities	Mexico City	 Mexico	ML
AS	2023	19th International Conference on Applied Statistics	Koper/Capodistria	 Slovenia	ML
NLPAI--Ei	2023	2023 4th International Conference on Natural Language Processing and Artificial Intelligence (NLPAI 2023)	Urumqi	 China	ML
RoSA	2023	International Workshop on Robotic perception and Situation Awareness @ ECMR 2023	Coimbra	 Portugal	ML
IEEE PRML	2023	2023 IEEE the 4th International Conference on Pattern Recognition and Machine Learning (PRML 2023)	Urumqi	 China	ML
IEEE IComputation	2023	IEEE Symposium on Immune Computation	Mexico City	 Mexico	ML
ACAIT	2023	7th Asian Conference on Artificial Intelligence Technology	Jiaxing	 China	ML
MIDAS	2023	MIDAS workshop @ECML-PKDD 2023 - 8th Workshop on MIning DAta for financial applicationS	Turin	 Italy	ML
CIS	2023	4th Congress on Intelligent Systems	Bangalore	 India	ML
ISIC-SIAW-MICCAI	2023	Eighth ISIC Skin Image Analysis Workshop @ MICCAI 2023	Vancouver	 Canada	ML
ML4ITS	2023	[EXTENDED DEADLINE] 2nd CFP - ML4ITS2023 Machine Learning for Irregular Time Series @ ECML/PKDD	Turin	 Italy	ML
IAL @ ECML-PKDD	2023	7th International Workshop & Tutorial on Interactive Adaptive Learning	Torino	 Italy	ML
SIGITE	2023	ACM SIGITE 2023	Marietta	 Georgia	ML
MLCS@ECML-PKDD	2023	The 5th Workshop on Machine Learning for CyberSecurity (EXTENDED Deadline)	Turin	 Italy	ML
SISY	2023	21st International Symposium on Intelligent Systems and Informatics	Pula	 Croatia	ML
