Conference Acronym	Year	Conference Name	City	Country	ResearchArea
ACM HPCCT	2023	ACM--2023 7th High Performance Computing and Cluster Technologies Conference (HPCCT 2023)	Jiaxing	 China	ML
RSTA	2023	5th International Symposium on Rough Sets: Theory and Applications	Warsaw	 Poland	ML
PRAXAI @ IEEE-DSAA	2023	Practical applications of explainable artificial intelligence methods  @ IEEE-DSAA23	Thessaloniki	 Greece	ML
LearnTeD	2023	Learning from Temporal Data - DSAA 2023	Thessaloniki	 Greece	ML
DSAA - Journal Track	2023	Data Science and Advanced Analytics 2023 - Journal Track	Thessaloniki	 Greece	ML
KI	2023	46th German Conference on Artificial Intelligence	Berlin	 Germany	ML
SIB/GRSL	2023	The SIBGRAPI 2023 Geoscience and Remote Sensing Letters (GRSL) Track	Rio Grande	 Brazil	ML
NeurIPS	2023	Thirty-seventh Conference on Neural Information Processing Systems	New Orleans	 USA	ML
SEMANTiCS	2023	19th International Conference on Semantic Systems	Leipzig	 Germany	ML
DSAA	2023	10th IEEE International Conference on Data Science and Advanced Analytics (DSAA' 2023)	Thessaloniki	 Greece	ML
ACM SPML	2023	ACM--2023 6th International Conference on Signal Processing and Machine Learning (SPML 2023)	Tianjin	 China	ML
IEEE CogMI	2023	IEEE International Conference on Cognitive Machine Intelligence	Atlanta	 USA	ML
IPTA	2023	Twelfth International Conference on Image Processing Theory, Tools and Applications (IPTA)	Paris	 France	ML
FL-IJCAI	2023	International Workshop on Trustworthy Federated Learning in Conjunction with IJCAI 2023	Macau	 China	ML
IJCAI-AiOfAi	2023	3rd Workshop on Adverse Impacts and Collateral Effects of AI Technologies	Macau	 China	ML
STRL	2023	Second International Workshop on Spatio-Temporal Reasoning and Learning	Macau	 China	ML
IEEE MIPR	2023	IEEE 6th International Conference on Multimedia Information Processing and Retrieval	Singapore	 Singapore	ML
AIM@EPIA	2023	Artificial Intelligence in Medicine	Lisbon	 Portugal	ML
IJCB	2023	IEEE/IAPR International Joint Conference on Biometrics	Ljubljana	 Slovenia	ML
LSD	2023	Learning with Small Data	Gothenburg		ML
ASPAI	2023	5th International Conference on Advances in Signal Processing and Artificial Intelligence	Tenerife	 Spain	ML
BRACIS	2023	Call For Papers - BRACIS 2023 - 12th Brazilian Conference on Intelligent Systems	Belo Horizonte	 Brazil	ML
ATVA	2023	Automated Technology for Verification and Analysis	Singapore	 Singapore	ML
DISA@DSAA 	2023	Computational methods for emerging problems in disinformation analysis	Thessaloniki	 Greece	ML
CP	2023	Principles and Practice of Constraint Programming	Toronto	 Canada	ML
ICIAP	2023	22nd International Conference on Image Analysis and Processing	Udine	 Italy	ML
Machine Learning tools for Adaptive XR	2023	XR Salento 2023 - Special session	Lecce	 Italy	ML
EAI-MLADA	2023	EAI International Conference on Machine Learning And Applied Data Analytics	Dehradun	 India	ML
NAMSP	2023	4th International Workshop on New Approaches for Multidimensional Signal Processing	Sofia	 Bulgaria	ML
IEEE SmartNets	2023	2023 IEEE International Conference on Smart Applications, Communications and Networking	Istanbul	 Turkey	ML
IROBOT@EPIA	2023	12th International Thematic Track on Intelligent Robotics	Azores	 Portugal	ML
FLIRT	2023	1st Workshop on Federated Learning for Information Retrieval	Taipei	 Taiwan	ML
KES	2023	27th International Conference on Knowledge Based and Intelligent information and Engineering Systems	Athens	 Greece	ML
MoDU	2023	Management of Data under Uncertainty	Barcelona	 Spain	ML
MLVis	2023	Machine Learning Methods in Visualisation	Leipzig	 Germany	ML
ICANN	2023	32nd International Conference on Artificial Neural Networks	Heraklion	 Greece	ML
DBB	2023	The 4th Joint International Conference on Deep Learning, Big Data and Blockchain	Marrakech	 Morocco	ML
JCC-BD&ET	2023	[Deadline extension] 11th JCC-BD&ET 2023 -- Springer CCIS (Ei Compendex & Scopus) -- No APC	La Plata	 Argentina	ML
AISI	2023	9th International Conference on Advanced Intelligent Systems and Informatics	Port Said	 Egypt	ML
IEEE BigDataService 	2023	The 9th IEEE International Conference on Big Data Computing Service and Machine Learning Applications	Athens	 Greece	ML
MLCID	2023	Machine Learning from Class Imbalanced Data	Tunis	 Tunisia	ML
ACM ICSIM	2024	ACM--2024 The 7th International Conference on Software Engineering and Information Management (ICSIM 2024)	SuVa	 Fiji	BigData
ICBTA	2023	ACM--2023 6th International Conference on Blockchain Technology and Applications (ICBTA 2023)	Xi'an	 China	BigData
ICBDSC	2024	2024 the 7th International Conference on Big Data and Smart Computing (ICBDSC 2024)	Fiji	 Japan	BigData
ICICM	2023	ACM--2023 The 13th International Conference on Information Communication and Management (ICICM 2023)	Cairo	 Egypt	BigData
CSTY	2023	9th International Conference on Computer Science and Information Technology	Sydney	 Australia	BigData
DMS	2023	14th International conference on Database Management Systems	Dubai	 UAE	BigData
DSML	2023	4th International Conference on Data Science and Machine Learning	Vienna	 Austria	BigData
BIOM	2023	3rd International Conference on Big Data, IoT and Machine Learning	Zurich	 Switzerland	BigData
IBCOM	2023	4th International Conference on IoT, Blockchain & Cloud Computing	Sydney	 Australia	BigData
BIBC 	2023	4th International Conference on Big Data, IOT and Blockchain	Vienna	 Austria	BigData
CTCM 	2023	9th International Conference of Control Theory and Computer Modelling	Vienna	 Austria	BigData
BINLP	2023	3rd International Conference on Big Data, IOT & NLP	Sydney	 Australia	BigData
NLDM	2023	3rd International Conference on NLP & Data Mining	Zurich	 Switzerland	BigData
NLPTA	2023	4th International Conference on NLP Techniques and Applications	London	 United Kingdom	BigData
DSA 	2023	4th International Conference on Data Science and Applications	London	 United Kingdom	BigData
CST	2023	10th International Conference on Foundations of Computer Science & Technology	Dubai	 UAE	BigData
SOFEA	2023	9th International Conference on Software Engineering and Applications	Vienna	 Austria	BigData
MLDS	2023	4th International Conference on Machine Learning Techniques and Data Science	Sydney	 Australia	BigData
CCNET	2024	11th International Conference on Computer Networks & Communications	Copenhagen	 Denmark	BigData
IOTBS	2024	4th International Conference on IOT, Big Data and Security	Copenhagen	 Denmark	BigData
ICCIoT	2024	5th International Conference on Cloud and Internet of Things	Zurich	 Switzerland	BigData
DMDB	2024	11th International Conference on Data Mining and Database	Zurich	 Switzerland	BigData
ICAIA	2023	3rd Annual International Conference on Artificial Intelligence and Applications	Shenzhen	 China	BigData
ICBDB	2023	2023 5th International Conference on Big Data and Blockchain(ICBDB 2023)	Xi'an	 China	BigData
ICNS--Ei	2023	2023 The 8th International Conference on Network Security (ICNS 2023)	Osaka	 Japan	BigData
ICSCM	2024	2024 5th International Conference on Supply Chain Management (ICSCM 2024)	Singapore	 Singapore	BigData
ICBDM	2023	2023 The 4th International Conference on Big Data in Management (ICBDM 2023)	Bangkok	 Thailand	BigData
APIT	2024	ACM--2024 6th Asia Pacific Information Technology Conference (APIT 2024)	Bangkok	 Thailand	BigData
ISDIA	2024	Scopus indexed Springer International Conf ISDIA	Dubai	 UAE	BigData
ICICT	2024	9th International Congress on Information and Communication Technology	London	 United Kingdom	BigData
BigDataAnalytics	2023	Big-Big Data Analytics Competition (CyberC, IEEE TCCC, IEEE TC @ BD)	Suzhou	 China	BigData
BDSN	2023	The 11th International workshop on Big Data and Social Networking Management and Security	Abu Dhabi	 UAE	BigData
DSEA 	2023	The 7th International Workshop on Data Science Engineering and its Applications	Abu Dhabi	 UAE	BigData
OSNT	2023	The 9th International Workshop on Online Social Networks Technologies	Abu Dhabi	 UAE	BigData
ANLP	2023	The 7th International Workshop on Advances in Natural Language Processing	Abu Dhabi	 UAE	BigData
SAMSN 	2023	The 6th International Workshop on Sentiment Analysis and Mining of Social Networks	Abu Dhabi	 UAE	BigData
BigComp	2024	2024 International Conference on  Big Data and Smart Computing	Bangkok	 Thailand	BigData
CAIDS	2023	1st International Conference on Recent Advances in Computing, AI, and Data Science	Islamabad	 Pakistan	BigData
CPS AEIS	2023	CPS--2023 3rd International Conference on Advanced Enterprise Information System (AEIS 2023)	London	 United Kingdom	BigData
WSIM	2023	2023 3rd International Workshop on Information Management (WSIM 2023)	London	 United Kingdom	BigData
ACM ICIMT	2023	ACM--2023 The 15th International Conference on Information and Multimedia Technology (ICIMT 2023)	Beijing	 China	BigData
Singapore--CDICS	2023	2023 International Conference on Data, Information and Computing Science (CDICS 2023)	Singapore	 Singapore	BigData
IEEE ICIM	2024	IEEE--2024 the 10th International Conference on Information Management (ICIM 2024)	Cambridge	 United Kingdom	BigData
CFP-ICBDAA	2023	2023 International Conference on Big Data Analysis and Application (ICBDAA 2023)	Singapore	 Singapore	BigData
ICIT	2023	ACM--2023 The 11th International Conference on Information Technology: IoT and Smart City (ICIT 2023)	Kyoto	 Japan	BigData
ADIP	2023	2023 5th Asia Digital Image Processing Conference (ADIP 2023)	Kyoto	 Japan	BigData
ICBICC	2023	2023 5th International Conference on Big Data, IoT, and Cloud Computing (ICBICC 2023)	Mianyang	 China	BigData
AICCC	2023	ACM--2023 6th Artificial Intelligence and Cloud Computing Conference (AICCC 2023)	Kyoto	 Japan	BigData
ACM ICCIP	2023	ACM--2023 9th International Conference on Communication and Information Processing (ICCIP 2023)	Lingshui	 China	BigData
MLSC	2024	5th International Conference on Machine Learning and Soft Computing	Vancouver	 Canada	BigData
AIBD	2024	5th International Conference on Artificial Intelligence and Big Data	Vancouver	 Canada	BigData
ADCOM	2024	10th International conference on Advanced Computing	Vancouver	 Canada	BigData
ACDSA	2024	International Conference on Artificial Intelligence, Computer, Data Sciences and Applications	Mahe	 Seychelles	BigData
IEEE Xplore-Ei/Scopus-DMCSE	2023	2023 International Conference on Data Mining, Computing and Software Engineering (DMCSE 2023) -EI Compendex	Chengdu	 China	BigData
ICBDA	2024	IEEE--2024 the 9th International Conference on Big Data Analytics (ICBDA 2024)	Tokyo	 Japan	BigData
ICAIBD	2024	2024 The 7th International Conference on Artificial Intelligence and Big Data (ICAIBD 2024)	Chengdu	 China	BigData
CSP	2024	2024 8th International Conference on Cryptography, Security and Privacy (CSP 2024)	Osaka	 Japan	BigData
SCSN	2024	The 12th IEEE International Workshop on Semantic Computing for Social Networks and Organization Sciences: from user information to social knowledge	Laguna Hills	 USA	BigData
ICGDA	2024	ACM--2024 7th International Conference on Geoinformatics and Data Analysis (ICGDA 2024)	Paris	 France	BigData
DOLAP	2024	26th International Workshop on Design, Optimization, Languages and Analytical Processing of Big Data	Paestum	 Italy	BigData
IEEE ICCCBDA	2024	IEEE--2024 the 9th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA 2024)	Chengdu	 China	BigData
smart health	2023	1ST INTERNATIONAL WORKSHOP ON SMART HEALTH	Leuven	 Belgium	BigData
FEMIB	2024	6th International Conference on Finance, Economics, Management and IT Business	Lisbon	 Portugal	BigData
IoTBDS	2024	9th International Conference on Internet of Things, Big Data and Security	Lisbon	 Portugal	BigData
SoCAV	2024	2024 International Symposium on Connected and Autonomous Vehicles (SoCAV 2024)	Qingdao	 China	BigData
ICBDC--Ei	2024	2024 9th International Conference on Big Data and Computing (ICBDC 2024)	Bangkok	 Thailand	BigData
ICINT	2024	2024 9th International Conference on Information and Network Technologies (ICINT 2024)	Tokyo	 Japan	BigData
IEEE ICIT	2024	25th IEEE International Conference on Industrial Technology	Bristol	 United Kingdom	BigData
ICIKM	2024	2024 13th International Conference on Innovation, Knowledge, and Management (ICIKM 2024)	Rome	 Italy	BigData
ICISPP--Ei	2024	2024 5th International Conference on Information Security and Privacy Protection (ICISPP 2024)	Nanjing	 China	BigData
BIOTC--EI	2024	2024 6th Blockchain and Internet of Things Conference (BIOTC 2024)	Fukuoka	 Japan	BigData
DATA	2024	13th International Conference on Data Science, Technology and Applications	Dijon	 France	BigData
IWBDR	2023	The Fourth International Workshop on Big Data Reduction	Sorrento	 Italy	BigData
SCDM	2023	Workshop on Scalable Cloud Data Management -- Web Engineering Edition	Sorrento	 Italy	BigData
HDIS	2023	5th International Conference on High Performance Big Data and Intelligent Systems	Macau	 China	BigData
BDPC	2024	IEEE--2024 2nd International Conference on Big Data and Privacy Computing (BDPC 2024)	Macau	 China	BigData
IEEE Xplore-Ei/Scopus-CSPIT	2023	2023 Asia Conference on Communications, Signal Processing and Information Technology (CSPIT 2023) -EI Compendex	Singapore	 Singapore	BigData
ICIIT	2024	2024 9th International Conference on Intelligent Information Technology (ICIIT 2024)	Ho Chi Minh	 Vietnam	BigData
IEEE Xplore-Ei/Scopus-BDISS	2023	2023 Asia Conference on Big Data, Information and System Security (BDISS 2023) -EI Compendex	Singapore	 Singapore	BigData
ACM BDE	2023	ACM--2023 5th International Conference on Big Data Engineering (BDE 2023)	Zhuhai	 China	BigData
ICNT	2023	2023 6th International Conference on Network Technology (ICNT 2023)	Sharm El-Sheikh	 Egypt	BigData
SNAMS	2023	The 10th International Conference on Social Networks Analysis, Management and Security	Abu Dhabi	 UAE	BigData
DSDE	2024	2024 7th International Conference on Data Storage and Data Engineering (DSDE 2024)	Shanghai	 China	BigData
ISSA	2023	Intelligent Systems, Services and Applications (ISSA 2023)	Bangkok	 Thailand	BigData
BDCat	2023	International Conference on Big Data Computing, Applications and Technologies	Taormina	 Italy	BigData
ACM ICBCT	2023	ACM--2023 5th International Conference on Blockchain Technology (ICBCT 2023)	Guilin	 China	BigData
INCOFT	2023	2nd International Conference on Futuristic Technologies	Belagavi	 India	BigData
AIOTT	2023	Springer--2023 4th Asia IoT Technologies Conference (AIOTT 2023)	Beijing	 China	BigData
IEEE INCC	2023	IEEE--2023 International Conference on Information Network and Computer Communications (INCC 2023)	Beijing	 China	BigData
DSCI	2023	6th International Conference on Data Science and Computational Intelligence	Chengdu	 China	BigData
IEEE Xplore-Ei/Scopus-SPCVA	2023	2023 Asia Conference on Signal Processing, Computer Vision and Applications (SPCVA 2023)	Qingdao	 China	BigData
BDSIC	2023	ACM--2023 5th International Conference on Big-data Service and Intelligent Computation (BDSIC 2023)	Singapore	 Singapore	BigData
BDIIE	2023	2023 International Conference on Big Data, Information and Intelligent Engineering	Wuhan	 China	BigData
BDIIE	2023	2023 International Conference on Big Data, Information and Intelligent Engineering	Wuhan	 China	BigData
CECCC	2023	IEEE--2023 2nd International Communication Engineering and Cloud Computing Conference (CECCC 2023)	Nanjing	 China	BigData
IEEE BigData 	2023	EEE International Conference on Big Data	Sorento	 Italy	BigData
ICACII	2023	2nd International Conference on Advances in Computational Intelligence and Informatics	Hyderabad	 India	BigData
CBD	2023	The Eleventh International Conference on Advanced Cloud and Big Data	Hainan	 China	BigData
DMBD	2023	8th International Conference on Data Mining and Big Data	Sanya	 China	BigData
IEEE ICCBD	2023	IEEE--2023 6th International Conference on Computing and Big Data (ICCBD 2023)	Shanghai	 China	BigData
CCBDIoT 	2023	2023 2nd International Conference on Computing, Big Data and Internet of Things (CCBDIoT 2023)	Chengdu	 China	BigData
ICSEng	2023	30th INTERNATIONAL CONFERENCE ON SYSTEMS ENGINEERING	Las Vegas	 USA	BigData
ABCSS	2023	The 8th International Workshop on Application of Big Data for Computational Social Science	Venice	 Italy	BigData
IEEE ICEBE	2023	19th IEEE International Conference on e-Business Engineering	Sydney	 Australia	BigData
BDMO	2023	2023 2nd International Conference on Big Data Modeling and Optimization (BDMO 2023)	Rome	 Italy	BigData
BigData- 6th HealthCare Data	2023	IEEE BigData 2023 - 6th Special Session on HealthCare Data	Sorrento	 Italy	BigData
ICTC	2023	The 14th International Conference on ICT Convergence	Jeju	 South Korea	BigData
BDCloud	2023	13th IEEE International Conference on Big Data and Cloud Computing	Wuhan	 China	BigData
IEEE ICICSP	2023	IEEE--2023 6th International Conference on Information Communication and Signal Processing (ICICSP 2023)	Xi'an	 China	BigData
ICBDT	2023	ACM--2023 6th International Conference on Big Data Technologies (ICBDT 2023)	Qingdao	 China	BigData
BDCIA	2023	2023 International Conference on Big Data, Computational Intelligence and Applications	Huanggang	 China	BigData
AIBC--Ei	2023	2023 4th International Artificial Intelligence and Blockchain Conference (AIBC 2023)	Aizu-Wakamatsu	 Japan	BigData
BDML	2023	2023 6th International Conference on Big Data and Machine Learning (BDML 2023)	Xiamen	 China	BigData
BDML--Ei	2023	2023 6th International Conference on Big Data and Machine Learning (BDML 2023)	Xiamen	 China	BigData
CCIOT	2023	ACM--2023 8th International Conference on Cloud Computing and Internet of Things (CCIOT 2023)	Okinawa	 Japan	BigData
DATA ANALYTICS	2023	The Twelfth International Conference on Data Analytics	Porto	 Portugal	BigData
YSC	2023	International Young Scientists Conference in Computational Science 2023	Abu Dhabi	 UAE	BigData
BigDataSE	2023	The 17th IEEE International Conference on Big Data Science and Engineering	Exeter	 UK	BigData
ICAISE	2023	The 5th International Conference on   Artificial Intelligence and Smart Environments	Errachidia	 MOROCCO	BigData
ACM BDCI	2023	ACM--2023 The 3rd International Conference on Big Data and Computational Intelligence (BDCI 2023)	Tokyo	 Japan	BigData
BCD	2023	The 8th IEEE/ACIS International Conference on Big Data, Cloud Computing, and Data Science Engineering	Ho Chi Minh	 Vietnam	BigData
IDEAL	2023	24th International Conference on Intelligent Data Engineering and Automated Learning	Alvor	 Portugal	BigData
iSCSi	2023	iSCSi'23 - International Conference of Industry Science & Computer Sciences Innovation	Lisbon	 Portugal	BigData
ICBDR	2023	2023 The 7th International Conference on Big Data Research (ICBDR 2023)	Lanzhou	 China	BigData
ICIST--Ei	2023	2023 5th International Conference on Intelligent Science and Technology (ICIST 2023)	Lanzhou	 China	BigData
BDEE--Ei	2023	CPS--2023 The 3rd International Conference on Big Data Engineering and Education (BDEE 2023)	Chengdu	 China	BigData
IMMS	2023	2023 the 6th International Conference on Information Management and Management Science (IMMS 2023)	Chengdu	 China	BigData
ACM ICCBDC	2023	ACM--2023 7th International Conference on Cloud and Big Data Computing (ICCBDC 2023)	Manchester	 United Kingdom	BigData
EAI BDTA 	2023	13th EAI International Conference on Big Data Technologies and Applications	Edinburgh	 Scotland	BigData
EAI BDTA - PhD Track	2023	13th EAI International Conference on Big Data Technologies and Applications - PhD Track	Edinburgh	 Scotland	BigData
IoTaaS	2023	EAI IoTaaS 2023	Nanjing	 China	BigData
IEEE SSCI	2023	2023 IEEE Symposium Series on Computational Intelligence	Mexico City	 Mexico	BigData
BDIOT	2023	ACM--2023 7th International Conference on Big Data and Internet of Things (BDIOT 2023)---SCIE	Beijing	 China	BigData
SMC	2023	20th Smoky Mountains Computational Sciences and Engineering Conference	Knoxville	 USA	BigData
EuroSymposium	2023	EuroSymposium 2023: The XVth EuroSymposium on Digital Transformation, 28th of September, 2023, Hybrid, University of Gdansk, Poland (LNBIP proceedings)	Sopot	 Poland	BigData
EAI Chinacom	2023	18th EAI International Conference on Communications and Networking in China	Sanya	 China	BigData
APWeb-WAIM	2023	The Asia Pacific Web (APWeb) and Web-Age Information Management (WAIM) Join Intermational Conference on Web and Big Data (APWeb-WAIM)	Wuhan	 China	BigData
DS	2023	Discovery Science 2023	Porto	 Portugal	BigData
BDET--Ei	2023	2023 5th International Conference on Big Data Engineering and Technology (BDET 2023)	Singapore	 Singapore	BigData
ICISPC--Ei	2023	2023 7th International Conference on Imaging, Signal Processing and Communications (ICISPC 2023)	Kumamoto	 Japan	BigData
IEEE BDAI	2023	IEEE--2023 6th International Conference on Big Data and Artificial Intelligence (BDAI 2023)	Jiaxing	 China	BigData
ACM BIOTC	2023	ACM--2023 5th Blockchain and Internet of Things Conference (BIOTC 2023)	Osaka	 Japan	BigData
Digital Twin	2023	The 2023 IEEE International Conference on Digital Twin (Digital Twin 2023)	Portsmouth		BigData
ICCCI--EI	2023	2023 The 5th International Conference on Computer Communication and the Internet (ICCCI 2023)	Fujisawa	 Japan	BigData
ITAS	2023	2023 Information Technology & Applications Symposium (ITAS 2023)	Fujisawa	 Japan	BigData
CLUSTER	2023	cluster 2023 : IEEE Cluster Conference	Santa Fe	 USA	BigData
MADEISD	2023	5th Workshop on Modern Approaches in Data Engineering and Information System Design	Barcelona	 Spain	BigData
ICDPA--Ei	2023	2023 The 9th International Conference on Data Processing and Applications (ICDPA 2023)	Singapore	 Singapore	BigData
ICITS	2023	2023 The 11th International Conference on Information Technology and Science (ICITS 2023)	Singapore	 Singapore	BigData
IEEE	2023	Big Data IEEE 2023	Athens	 Greece	BigData
JCC-BD&ET	2023	[Deadline extension] 11th JCC-BD&ET 2023 -- Springer CCIS (Ei Compendex & Scopus) -- No APC	La Plata	 Argentina	BigData
AISI	2023	9th International Conference on Advanced Intelligent Systems and Informatics	Port Said	 Egypt	BigData
DBB	2023	The 4th Joint International Conference on Deep Learning, Big Data and Blockchain	Marrakech	 Morocco	BigData
FiCloud 	2023	The 10th International Conference on Future Internet of Things and Cloud	Marrakech	 Morocco	BigData
IEEE BigDataService 	2023	The 9th IEEE International Conference on Big Data Computing Service and Machine Learning Applications	Athens	 Greece	BigData
BECS	2023	3rd International Workshop on Big data driven Edge Cloud Services	Alicante	 Spain	BigData
ICBDE	2023	2023 The 6th International Conference on Big Data and Education (ICBDE 2023)	Jinan	 China	BigData
ICDAM	2023	4th International Conference on Data Analytics and Management	London	 United Kingdom	BigData
IEEE COINS	2023	IEEE COINS 2023 - Berlin, Germany - July 23-25 - Hybrid (In-Person & Virtual) | Artificial Intelligence, Internet of Things (IoT), Blockchain, Big Data, Machine Learning	Berlin	 Germany	BigData
Call for Papers	2023	IEEE MobileCloud 2023 2023 : IEEE MobileCloud 2023 : The 11th IEEE International Conference on Mobile Cloud Computing, Services and Engineering	Athens	Greece	BigData
IEEE CISOSE	2023	IEEE International Congress on Intelligent and Service-Oriented Systems Engineering	Athens	 Greece	BigData
SocialSec	2023	The 9th International Symposium on Security and Privacy in Social Networks and Big Data	CANTERBURY	 UK	BigData
ACM ICISDM	2023	ACM--2023 7th International Conference on Information System and Data Mining (ICISDM 2023)	Atlanta	 USA	BigData
DeLTA	2023	4th International Conference on Deep Learning Theory and Applications	Lisbon	 Portugal	BigData
DEBS	2023	17th ACM International Conference on Distributed and Event-Based Systems	Neuchatel	 Switzerland	BigData
MEDES	2023	the 15th International Conference on Management of Digital EcoSystems	Heraklion	 Greece	BigData
MEDES	2023	The 15th International Conference on Management of Digital EcoSystems	Heraklion	 Greece	BigData
CARMA	2023	5th International Conference on Advanced Research Methods and Analytics. Internet and Big Data in Economics and Social Sciences	Seville	 Spain	BigData
ICDICI	2023	4th International Conference on Data Intelligence and Cognitive Informatics	Tirunelveli	 India	BigData
InMed	2023	11th International Conference on Innovation in Medicine & Healthcare	Rome	 Italy	BigData
miproBIS 	2023	CfP:miproBIS - Business Intelligence Systems	Opatija	 Croatia	BigData
bbuzz	2023	Berlin Buzzwords 2023	Berlin	 Germany	BigData
IEEE SDS	2023	Call for Papers - IEEE Swiss Conference on Data Science - Scientific Track	Zurich	 Switzerland	BigData
IEEE SIST	2023	IEEE International Conference on Smart Information Systems and Technologies	Astana	 Kazakhstan	BigData
CAAW	2023	The 2nd International Cryptoasset Analytics Workshop	Austin	 USA	BigData
NIAI	2023	4th International Conference on Natural Language Processing, Information Retrieval and AI	Dubai	 UAE	BigData
SAIDD	2023	Symposium on AI, Data and Digitalization	Sogndal	 Norway	BigData
ETTIS	2023	3rd International Conference on Emerging Trends and Technologies on Intelligent Systems	New Delhi	 India	BigData
MegaData 	2023	The Third International Workshop on Advanced Data Systems Management, Engineering, and Analytics (MegaData)	Bangalore	 India	BigData
SCSN	2023	The 11th IEEE International Workshop on Semantic Computing for Social Networks and Organization Sciences: from user information to social knowledge	Laguna Hills	 USA	BigData
BigGraphs	2022	BigGraphs 2022 : International Workshop on High Performance Big Graph Data Management, Analysis, and Mining (BigGraphs)	Osaka	 Japan	BigData
CCDC	2023	35th Chinese Control and Decision Conference	Yichang	 China	BigData
BDSN 	2022	The 10th International workshop on Big Data and Social Networking Management and Security	Milan	 Italy	BigData
DSEA	2022	The 6th International Workshop on Data Science Engineering and its Applications	Milan	 Italy	BigData
OSNT	2022	The 8th International Workshop on Online Social Networks Technologies	Milan	 Italy	BigData
ACM SAC CC Track	2023	ACM SAC 2023 Track on Cloud Computing	Tallinn	 Estonia	BigData
ACM SAC CC Track	2023	ACM SAC 2023 Track on Cloud Computing	Tallinn	 Estonia	BigData
EAI BDTA	2022	12th EAI International Conference on Big Data Technologies and Applications	Cairo	 Egypt	BigData
EAI BCBE 	2022	EAI International Conference on Block chain, cloud computing and big data with education	Wuxi	 China	BigData
EAI BDCC	2022	5th EAI International Conference on Big Data Innovation for Sustainable Cognitive Computing	Coimbatore	 India	BigData
SNAMS	2022	The 9th International Conference on Social Networks Analysis, Management and Security	Milan	 Italy	BigData
ICSC	2023	IEEE International Conference on Semantic Computing	Laguna Hills	 USA	BigData
SCDM	2022	Scalable Cloud Data Management Workshop	Osaka	 Japan	BigData
ICSESS	2022	2022 13th International Conference on Software Engineering and Service Science	Beijing	 China	BigData
ISM	2022	IEEE International Symposium on Multimedia	Naples	 Italy	BigData
BigMM	2022	IEEE International Conference on Multimedia Big Data	Naples	 Italy	BigData
ICCT	2023	3rd International Conference on Intelligent Communication and Computational Techniques	Jaipur	 India	BigData
Intel4EC	2022	International Workshop on Intelligent and Adaptive Edge-Cloud Operations and Services collocated with IEEE/ACM Conference on Utility and Cloud Computing (UCC 2022)	Portland	 USA	BigData
BDCAT	2022	9th IEEE/ACM International Conference on Big Data Computing, Applications and Technologies	Portland	 USA	BigData
ICITS	2023	6th International Conference on Information Technology and Systems	Cusco	 Peru	BigData
IEEE BigData	2022	2022 IEEE International Conference on Big Data	Osaka	 Japan	BigData
ICDMAI	2023	7th International Conference on Data Management, Analytics and Innovation	Pune	 India	BigData
DMBD	2022	The Seventh International Conference on Data Mining and Big Data	Beijing	 China	BigData
DMBD	2022	The Seventh International Conference on Data Mining and Big Data	Beijing	 China	BigData
DMBD	2022	DMBD'2022: Call for Special Session Proposals & Call for Papers	Beijing	 China	BigData
DMBD	2022	7th International Conference on Data Mining and Big Data	Beijing	 China	BigData
ABCSS	2022	The 7th International Workshop on Application of Big Data for Computational Social Science	Niagara Falls	 Canada	BigData
ICTC	2022	Extended Deadline (Firm Deadline):Â Aug. 22 (Hybrid: Virtual & In Person,Â Jeju Island, South Korea)  - The 13th International Conference on ICT Convergence -	Jeju	 South Korea	BigData
CBD 	2022	2022 The Tenth International Conference on Advanced Cloud and Big Data	Guilin	 China	BigData
DRBSD	2022	International Workshop on Data Analysis and Reduction for Big Scientific Data	Dallas	 TX	BigData
AIBDCA	2022	2022 International Conference on Artificial Intelligence, Big Data and Computer Applications	Huanggang	 China	BigData
ACDL	2022	5th Online & Onsite Advanced Course on Data Science & Machine Learning	Certosa di Pontignano		BigData
ICAISE	2022	The 4th International Conference on Artificial Intelligence and Smart  Environment	Errachidia	 MOROCCO	BigData
IDEAL	2022	23rd International Conference on Intelligent Data Engineering and Automated Learning	Manchester	 UK	BigData
BDL	2022	Workshop on Big Data & Deep Learning in High Performance Computing	Bordeaux		BigData
PAAP	2022	The 13th International Symposium on Parallel Architectures, Algorithms and Programming	Beijing	 China	BigData
XLOOP	2022	4th Annual Workshop on Extreme-scale Experiment-in-the-Loop Computing	Dallas	 TX	BigData
MEDES	2022	The 14th International Conference on Management of Digital EcoSystems	Venice	 Italy	BigData
EAI IoTCare 	2022	3rd EAI International Conference on IoT and Big Data Technologies for HealthCare	Leicester	 Great Britain	BigData
IEEE BigDataSE	2022	The 16th IEEE International Conference on Big Data Science and Engineering	Wuhan	 China	BigData
IEEE CSE 	2022	The 25th IEEE International Conference on Computational Science and Engineering	Wuhan	 China	BigData
MICARE	2022	MULTIMEDIA CONTENT ANALYSIS AND REPRESENTATION	Rabat	 Morocco	BigData
IWBIS	2022	IWBIS 2022 : THE 7TH INTERNATIONAL WORKSHOP ON BIG DATA AND INFORMATION SECURITY	Jakarta	 Indonesia	BigData
IDSTA	2022	The IEEE International Conference on Intelligent Data Science Technologies and Applications	San Antonio	 USA	BigData
IEEE SSCI	2022	2022 IEEE Symposium Series on Computational Intelligence	Singapore	 Singapore	BigData
